Jump_Number,Timestamp,Peak_Value,Peak_Index,Release_Index,Landing_Index
1,2025-04-15 00:39:46.801000+00:00,-0.04,2576,2556,2582
2,2025-04-15 00:39:48.301000+00:00,-0.2,2637,2590,2618
3,2025-04-15 00:39:54.352000+00:00,-0.2,2915,2625,2650
4,2025-04-15 00:40:03.450000+00:00,0.8800000000000001,3358,2786,2796
5,2025-04-15 00:40:18.594000+00:00,0.4,3991,2896,2926
6,2025-04-15 00:40:22.019000+00:00,-0.2,4170,3063,3092
7,2025-04-15 00:40:24.736000+00:00,-0.24,4326,3240,3267
8,2025-04-15 00:40:31.244000+00:00,1.0,4661,3288,3312
9,2025-04-15 00:40:34.160000+00:00,2.7600000000000002,4810,3344,3373
