Starting project at /Users/joshuadev/VaultMat
Starting Metro Bundler
Waiting on http://localhost:8081
Logs for your project will appear below.
iOS Bundled 61ms index.js (1 module)
 LOG  toggled
 LOG  [2025-04-14T23:30:38.673Z] [-101.8, -99.6, -102, -102.4, -102.4, -102.4, -102, -101.6, -99.2, -101.8, -101.8, -101.8, -102, -102.2, -104.6, -102.4, -105.4, -103, -98.4, -101.6, -101.6, -100.2, -102.2, -102, -102.4, -101.8, -101.8, -101.8, -101.4, -101.4, -101.8, -101.6, -102, -102.2, -102.2, -102.2, -105.2, -102.6, -102.4, -101.6, -100.8, -100.6, -98.8, -98.6, -100.8, -98.2, -100.8, -98, -98.2, -98.2, -100, -100.4, -100.8, -100.4, -99.8, -100, -100, -100.2, -100.2, -99.8, -100.2, -100, -100.4, -100.6, -100.4, -98.8, -100, -100.4, -100.8, -100.4, -99.8, -100.4, -100.2, -100.4, -99.4, -100, -100.4, -100, -99.8, -100.2]
 LOG  [2025-04-14T23:30:38.689Z] [-101.8, -99.6, -101.9, -102.4, -102.4, -102.3, -102, -101.6, -99.3, -101.8, -101.8, -101.8, -102, -102.2, -104.6, -102.4, -105.5, -103, -98.4, -101.6, -101.6, -100.2, -102.2, -102, -102.4, -101.8, -101.7, -101.8, -101.4, -101.4, -101.8, -101.6, -101.9, -102.2, -102.3, -102.2, -105.2, -102.6, -102.4, -101.7, -100.8, -100.6, -98.8, -98.7, -100.7, -98.2, -100.9, -97.9, -98.2, -98.2, -100.1, -100.4, -100.8, -100.4, -99.8, -100, -100, -100.2, -100.2, -99.8, -100.2, -100, -100.4, -100.7, -100.4, -98.8, -99.9, -100.5, -100.8, -100.4, -99.7, -100.4, -100.3, -100.5, -99.4, -100, -100.5, -100, -99.9, -100.1]
 LOG  [2025-04-14T23:30:38.690Z] [-101.8, -99.6, -101.86666666666666, -102.4, -102.4, -102.26666666666667, -102, -101.6, -99.33333333333334, -101.8, -101.73333333333333, -101.86666666666666, -102, -102.2, -104.6, -102.33333333333334, -105.53333333333333, -103, -98.4, -101.6, -101.6, -100.13333333333334, -102.2, -102, -102.4, -101.8, -101.66666666666666, -101.8, -101.4, -101.4, -101.8, -101.6, -101.93333333333334, -102.2, -102.33333333333334, -102.2, -105.2, -102.6, -102.4, -101.66666666666666, -100.73333333333333, -100.6, -98.8, -98.73333333333333, -100.66666666666666, -98.2, -100.86666666666666, -97.93333333333334, -98.2, -98.2, -100.13333333333334, -100.4, -100.8, -100.4, -99.8, -100, -100.06666666666666, -100.13333333333334, -100.2, -99.86666666666666, -100.2, -100, -100.4, -100.66666666666666, -100.4, -98.8, -99.86666666666666, -100.46666666666667, -100.73333333333333, -100.4, -99.66666666666666, -100.4, -100.26666666666667, -100.53333333333333, -99.4, -100, -100.53333333333333, -100, -99.86666666666666, -100.13333333333334]
 LOG  [2025-04-14T23:30:38.710Z] [-101.8, -99.6, -101.9, -102.4, -102.4, -102.25, -102, -101.6, -99.35, -101.8, -101.7, -101.9, -102, -102.2, -104.6, -102.35, -105.5, -103, -98.4, -101.6, -101.6, -100.15, -102.2, -102, -102.4, -101.8, -101.65, -101.8, -101.4, -101.4, -101.8, -101.6, -101.95, -102.2, -102.35, -102.2, -105.2, -102.6, -102.4, -101.65, -100.75, -100.6, -98.8, -98.7, -100.65, -98.2, -100.85, -97.95, -98.2, -98.2, -100.1, -100.4, -100.8, -100.4, -99.8, -100.05, -100.05, -100.15, -100.2, -99.85, -100.2, -100, -100.4, -100.7, -100.4, -98.8, -99.85, -100.5, -100.75, -100.4, -99.65, -100.35, -100.25, -100.55, -99.4, -100, -100.5, -100, -99.85, -100.1]
 LOG  [2025-04-14T23:30:38.725Z] [-101.8, -99.6, -101.88, -102.4, -102.4, -102.28, -102, -101.6, -99.32000000000001, -101.8, -101.67999999999999, -101.88, -102, -102.24, -104.6, -102.32000000000001, -105.52000000000001, -102.96, -98.4, -101.6, -101.56, -100.16, -102.16, -102, -102.4, -101.8, -101.64, -101.8, -101.4, -101.4, -101.8, -101.6, -101.96000000000001, -102.2, -102.36, -102.2, -105.2, -102.6, -102.4, -101.64, -100.72, -100.6, -98.8, -98.67999999999999, -100.67999999999999, -98.24, -100.88, -97.96000000000001, -98.2, -98.16, -100.12, -100.4, -100.8, -100.4, -99.8, -100.03999999999999, -100.03999999999999, -100.16, -100.2, -99.84, -100.2, -100, -100.4, -100.72, -100.4, -98.8, -99.84, -100.47999999999999, -100.76, -100.4, -99.67999999999999, -100.36, -100.24, -100.56, -99.4, -100.03999999999999, -100.47999999999999, -100, -99.84, -100.08]
 LOG  [2025-04-14T23:30:38.752Z] [-101.8, -99.6, -101.84, -102.4, -102.36, -102.28, -102, -101.6, -99.36, -101.8, -101.64, -101.88, -102, -102.24, -104.6, -102.28, -105.52000000000001, -102.92, -98.4, -101.6, -101.56, -100.16, -102.16, -102, -102.4, -101.8, -101.6, -101.8, -101.4, -101.4, -101.8, -101.6, -101.96000000000001, -102.2, -102.4, -102.2, -105.2, -102.6, -102.4, -101.64, -100.72, -100.6, -98.8, -98.67999999999999, -100.64, -98.28, -100.92, -97.96000000000001, -98.2, -98.16, -100.16, -100.4, -100.76, -100.4, -99.8, -100.03999999999999, -100.03999999999999, -100.16, -100.2, -99.84, -100.2, -100, -100.4, -100.76, -100.4, -98.8, -99.84, -100.52000000000001, -100.76, -100.4, -99.64, -100.36, -100.24, -100.6, -99.4, -100.08, -100.52000000000001, -100, -99.88, -100.03999999999999]
 LOG  [2025-04-14T23:30:38.753Z] [-101.8, -99.6, -101.88, -102.4, -102.36, -102.28, -102, -101.56, -99.36, -101.8, -101.6, -101.92, -102, -102.24, -104.55999999999999, -102.28, -105.52000000000001, -102.92, -98.4, -101.6, -101.56, -100.16, -102.16, -102, -102.4, -101.8, -101.64, -101.8, -101.4, -101.4, -101.8, -101.6, -102, -102.2, -102.4, -102.2, -105.2, -102.6, -102.4, -101.64, -100.72, -100.6, -98.8, -98.67999999999999, -100.64, -98.28, -100.88, -98, -98.2, -98.16, -100.16, -100.4, -100.76, -100.4, -99.8, -100.03999999999999, -100.03999999999999, -100.16, -100.2, -99.84, -100.2, -100, -100.4, -100.72, -100.4, -98.76, -99.88, -100.47999999999999, -100.76, -100.4, -99.64, -100.36, -100.2, -100.56, -99.4, -100.08, -100.47999999999999, -100, -99.88, -100.08]
 LOG  [2025-04-14T23:30:38.769Z] [-101.8, -99.6, -101.92, -102.4, -102.36, -102.28, -102, -101.56, -99.36, -101.8, -101.6, -101.88, -101.96000000000001, -102.24, -104.55999999999999, -102.32000000000001, -105.52000000000001, -102.88, -98.4, -101.6, -101.56, -100.2, -102.12, -102, -102.4, -101.8, -101.64, -101.8, -101.4, -101.4, -101.8, -101.6, -101.96000000000001, -102.2, -102.4, -102.2, -105.2, -102.6, -102.4, -101.67999999999999, -100.76, -100.6, -98.76, -98.64, -100.67999999999999, -98.32000000000001, -100.88, -98, -98.2, -98.16, -100.16, -100.4, -100.76, -100.4, -99.8, -100.03999999999999, -100, -100.2, -100.2, -99.8, -100.2, -100, -100.4, -100.76, -100.4, -98.76, -99.92, -100.47999999999999, -100.8, -100.4, -99.64, -100.36, -100.2, -100.56, -99.4, -100.08, -100.44, -100, -99.92, -100.08]
 LOG  [2025-04-14T23:30:38.771Z] [-101.8, -99.6, -101.92, -102.4, -102.36, -102.32000000000001, -102, -101.56, -99.36, -101.8, -101.6, -101.84, -101.92, -102.24, -104.55999999999999, -102.28, -105.52000000000001, -102.88, -98.4, -101.6, -101.56, -100.2, -102.12, -102, -102.4, -101.8, -101.64, -101.8, -101.4, -101.4, -101.8, -101.6, -101.92, -102.2, -102.4, -102.2, -105.2, -102.6, -102.4, -101.72, -100.76, -100.6, -98.72, -98.64, -100.67999999999999, -98.32000000000001, -100.92, -98, -98.2, -98.16, -100.16, -100.4, -100.76, -100.36, -99.8, -100, -100, -100.16, -100.2, -99.8, -100.16, -100, -100.4, -100.76, -100.44, -98.76, -99.96000000000001, -100.47999999999999, -100.8, -100.4, -99.64, -100.4, -100.2, -100.56, -99.4, -100.08, -100.44, -100, -99.96000000000001, -100.08]
 LOG  [2025-04-14T23:30:38.801Z] [-101.76, -99.6, -101.96000000000001, -102.4, -102.36, -102.28, -102, -101.52000000000001, -99.4, -101.8, -101.6, -101.84, -101.92, -102.2, -104.55999999999999, -102.32000000000001, -105.52000000000001, -102.88, -98.4, -101.6, -101.6, -100.2, -102.16, -102, -102.4, -101.8, -101.64, -101.8, -101.4, -101.4, -101.8, -101.6, -101.92, -102.2, -102.36, -102.2, -105.2, -102.55999999999999, -102.4, -101.72, -100.8, -100.56, -98.72, -98.64, -100.67999999999999, -98.28, -100.92, -97.96000000000001, -98.2, -98.2, -100.16, -100.4, -100.76, -100.36, -99.8, -100, -100, -100.12, -100.2, -99.8, -100.16, -100, -100.4, -100.76, -100.44, -98.76, -100, -100.47999999999999, -100.8, -100.4, -99.6, -100.4, -100.2, -100.56, -99.4, -100.08, -100.44, -100, -99.96000000000001, -100.12]
