,PC1,PC2,Label
0,-13.264025169690537,-2.4641212242480575,Colin
1,-10.038457461611738,-2.166546516123794,Colin
2,-12.778845483190196,-3.111944541733775,Colin
3,-14.25111410441901,-5.595761135238733,Colin
4,-12.675745227048466,-6.947676550414986,Colin
5,-17.815050904962266,6.8383522364349165,Owen_Dummy
6,-18.198453966778594,6.98899407878321,Owen_Dummy
7,-19.34324367636026,6.610037117976565,Owen_Dummy
8,-18.893214841825586,6.976483847746774,Owen_Dummy
9,-16.973403739565768,5.593420473415197,Owen_Dummy
10,4.3104458213983445,-0.36003403433420245,Connor
11,3.3813717563102306,-1.8422998967498492,Connor
12,5.120224040972926,-0.4611655939971435,Connor
13,4.521330235678206,-0.7411189284520648,Connor
14,4.769809066300015,1.8387586226250936,Connor
15,1.6014402595225625,-1.101788692596437,Matthew
16,2.921733687212968,-2.4472761965965684,Matthew
17,5.2201256750553595,-2.82281913950392,Matthew
18,-1.4819114989108295,-0.7630608797866687,Matthew
19,7.59142704888545,2.352793926210515,Matthew
20,6.036740693871981,-0.41817063277895267,Owen
21,3.5291433160460466,3.0647539788148386,Owen
22,5.181749828395205,7.577845899269512,Owen
23,2.22029859708481,8.54420722582279,Owen
24,1.9183060581483249,2.188385765131351,Owen
25,12.885424805374011,-3.497244436223844,Ian
26,7.885048399039844,-3.728221465489025,Ian
27,11.007228555136619,5.235530148136189,Ian
28,12.860390369066636,-1.1635864086357246,Ian
29,8.404371810068314,-2.524305613634224,Ian
30,-8.786091098893364,0.6488761559167032,Joshua
31,-7.190648018742792,-3.6960195098575563,Joshua
32,-3.6871032783663353,-1.2948097787011215,Joshua
33,-5.33899349474223,-2.306719481644803,Joshua
34,-0.9767081609105311,1.7413575459111614,Joshua
35,0.13384652283929116,2.542597901211392,Skylar
36,3.154302374217286,3.6771605654657313,Skylar
37,-2.53149140923611,2.027213230768862,Skylar
38,-0.1309436003647019,3.335443900400838,Skylar
39,1.997358643143445,3.9673276454412267,Skylar
40,11.707285584407328,-6.451052990209626,Jake
41,4.521562091965193,-7.9866444542093245,Jake
42,7.382017779519838,-2.1695490947888643,Jake
43,6.200635074830181,-4.573957107607612,Jake
44,5.3792557397629155,-6.0487548603377626,Jake
45,9.160762258249074,2.345979831642104,Annie
46,6.805338679753879,3.7153699633201156,Annie
47,3.11657898819542,3.21267657912553,Annie
48,11.19871234636401,9.773626185231052,Annie
49,10.984806464966056,5.526373250265421,Annie
50,-12.229320343377722,-6.1054394926962585,Emma
51,-11.678947558184667,-5.090671096140154,Emma
52,-9.554740734590318,-3.779276888477404,Emma
53,-7.9127799204575755,-2.9276763579816087,Emma
54,-10.151699452153577,-4.480488515418022,Emma
55,4.256818369637385,-4.070736880460227,Chu
56,7.558184124983526,-4.785940867104686,Chu
57,6.790658505731469,-5.339159956175052,Chu
58,15.551070757399122,5.1041603002641,Chu
59,8.617128814849865,1.8363128430168456,Chu
