PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,label
-13.264025169690537,-2.4641212242480575,0.021943387914111375,-2.4888133968067603,0.3370637073627435,-0.8293998958482337,2.6593952015187847,-0.7687048679046087,2.4288580589492317,-0.11255807375304425,1.0355428570159533,-1.5487237064648842,1.3799295350564866,-1.3864402813338748,0.6519733874686824,-1.2000072462247673,1.1881596805029186,-0.8235422546156516,0.16291838993750724,-0.4343057628564555,1.5427421906060126,-0.11945229888604779,0.31313875526167234,0.661256673380722,-0.41360937391374497,-0.2844963571116562,0.3196644937666678,-0.1529687608871211,-0.41994358028467926,0.9336071742210289,0.47564290844971296,-0.17728076803707277,-0.16543348279622555,-0.6759339280336035,0.5600106635524315,0.13116151143140947,0.12683859502688266,-0.13241125007609375,-0.14993927300059967,-0.012584386907386733,-0.015270210724272188,-0.07719957941475868,-0.12994675108501674,-0.0438098615408076,0.076123849893579,0.06549018275092919,0.056590065758116585,0.007627719820487343,0.05477154361988008,0.035594762087036616,0.05647014237032666,0.010799095239830076,0.01026695108430566,0.0173504549836059,0.0036535114783344154,0.018849702752148638,0.028466681200882218,0.007433728064183009,0.0007200179031926692,5.831317645427286e-16,Colin
-10.038457461611738,-2.166546516123794,2.506581141048001,-0.2539614353617513,-0.40594944714110176,-1.6651169734995241,1.552981963835934,0.38261196950754767,2.2689732723130795,-0.9491987243898121,0.7030551237258074,-3.025631634254784,0.7285209588855246,-1.5152552719712815,0.5707491243013699,-0.5595829177114471,2.300497028957618,-1.2500684374747506,-0.4134517821656937,0.5309795867153363,1.0052742514139625,0.1307168033387104,-0.24633964547018858,0.7176605540882111,-0.08923017576371421,-0.3861172052101859,-0.1576571244750541,-0.6349149035766153,-0.1315995730203917,-0.37156810348123254,0.0858105532413773,-0.06048201574117368,-0.11737560008455622,0.3270010300935891,-1.0392012384772769,-0.15515105737586396,0.10107517053630635,0.19691411637725253,0.11501302673362407,0.14728965497263644,-0.0751896654756291,0.06027101821060934,0.022443413344508712,-0.054698096946292546,-0.015406983238160529,-0.08756348236734304,-0.033091391407956944,-0.011343769442729742,-0.006944679536130907,0.020698829167537354,-0.009410936560197064,-0.004359039871005591,0.002782249491413761,-0.021983186298872692,0.011156825065726716,-0.007129227409691111,-0.031203483591491207,0.0021657075831214906,0.004880401569891614,-1.2788158279117935e-14,Colin
-12.778845483190196,-3.111944541733775,0.5840067726406647,-1.2363382210919578,1.8317390021143922,-2.643419730839804,1.128526800772096,-0.029227846220325236,4.470638508474579,0.9139772823030502,-0.07614457770014182,-0.10885044796967856,1.0311340777354807,0.8138763377930796,0.4256561536525483,0.6949113071818992,1.5433315206508897,0.152292257432001,0.7736633320617263,0.6037757798868814,0.5247347510819947,-0.42837708593279766,-0.2937612812475363,-0.8472607153885497,0.040987878268248255,1.0255195188422672,0.6777282905362525,-0.12130762606392007,0.2240760305481761,-0.22239756180225845,-0.8489922086553383,0.19201598825103475,1.017141384291477,0.42385089455346964,0.5025103579661395,-0.10569417167429654,-0.09369211772808313,0.09913999639622183,-0.11066651167477788,-0.04997633756717544,0.019554489256856537,-0.12670779768569065,0.09249468731682603,-0.020430261362825084,-0.08175161188243196,-0.03814561435497709,-0.043469936284776176,0.013403755751761257,0.04312362165046233,-0.01705236521856106,0.013444561094546554,-0.010962963862765848,-0.014289872369824175,0.003382242875600247,0.0027473176878422653,-0.005818811773171569,-0.010302459793235368,0.002297225706222323,-0.005284476302819881,5.438716894626783e-15,Colin
-14.25111410441901,-5.595761135238733,1.732166978322967,-1.0309169777073048,2.4689060150159747,-2.5119248830063423,0.13707688743450086,2.5945970607405777,1.2968728062417567,-0.16648913421526484,0.03642688968897519,-0.03435103542473604,0.49766603944327187,0.5910177140697871,0.07841676816522969,-0.8542070394428355,-1.7330425838690098,-0.4392296504165807,-0.0923343583359077,-1.2883578921447123,-0.46888833542810304,0.3832790072025301,-0.48313741515575004,0.23130584157268902,0.01754634263102767,-0.3362930925971639,-0.3383488819750305,0.6180745461750055,0.2329533358981837,-0.3744544454106065,0.4043974890523531,0.5110537923166507,-0.18882593429070116,0.20472585735244084,-0.05370278880714236,0.22618004875758482,-0.15977801954576148,-0.26192499754610676,0.13391152639831763,-0.029055026765494308,0.16105258374708006,-0.4849300121725874,-0.012577388961437473,-0.20735818572404457,-0.04880025427408501,-0.06548613636023921,-0.008486502774073533,-0.03324262277617509,-0.06401016697613846,0.030477749280626888,-0.031106954032025947,0.006658362689098864,0.014996269921350197,-0.00830911317494854,0.003770553025362197,0.00921593248835155,0.003461248201274168,-0.0016335367355262993,0.0031195462776460853,-6.112583111956712e-15,Colin
-12.675745227048466,-6.947676550414986,0.43189094317646126,-1.2660672124312127,3.1117352507482745,-1.8841757376799946,0.8719834491926073,1.8800925691244499,0.3068178066038582,0.7623739198621949,-0.4637664075041701,0.16064403894107732,0.7572124736568089,0.001018930304248602,0.6341728203878699,1.069123535008145,-1.0333594722232358,0.2276649293106672,-0.6760628646587216,-1.8218406039942732,0.0019043248841128684,-0.2852819974487707,-1.0192007356780575,0.7034261339025843,0.4101018605164112,0.30298961830995447,-0.4230057238054728,1.3997344092569137,0.00785902743689054,0.1532040308907166,-0.2851285356559801,-0.07352253244505515,-0.001184033332666151,-0.06968977613712352,-0.07250672922861787,0.08113694628708593,-0.007728914970650272,0.17803890027202873,-0.16587472688696855,0.2721402005852373,-0.0035828029988891705,0.367930733315196,0.13778215759767828,0.137665267948742,0.12473296070262578,-0.004137485193747817,-0.021744107279761248,0.03531285001359423,0.01194218821576424,0.013438197616807573,0.0010134312746332308,0.03810121074893236,0.018014243773209315,0.0014355160875499104,0.0010613718077093928,0.007682076880293268,0.0008224082826129182,-0.0034378029215002648,-5.566058117727731e-06,1.5150323438897658e-16,Colin
-17.815050904962266,6.8383522364349165,-2.927034865634896,3.217940120271651,1.663612955792969,3.264595177211583,-3.3409042737857146,0.8420198681109218,-1.403802378505111,-0.5483029988259812,0.02324160340559439,-0.6285620916469208,-0.9445096868250149,-0.07340681968373909,2.9708983329617697,-0.7381085097947169,-1.4823680320483585,1.8610619505271864,-1.0922001613929209,0.5196485724835109,0.6193878358510124,-0.9669702737288182,-0.8947244367354394,1.367983744481958,-0.34289692275140826,0.7042602581399421,1.4393307953158014,-0.44995330427628616,0.6693473580808086,-0.032879619317237506,-0.06625712065701019,0.04740494521545091,-0.15127990610593856,-0.07517624099555102,-0.0553681280017767,-0.03806514462943454,-0.03185906958448295,-0.03953222368541409,0.05648280406591759,-0.0271433461533852,-0.04037459016352353,-0.014245197614810117,-0.014353759777189312,-0.021084910321530703,-0.011821237607922686,-0.005349395376132738,0.007320787743978906,0.008680045225130181,1.4425158203555784e-05,0.0023222956517091513,0.00043336475980626185,-0.0016199287697132967,0.0004879222948590496,0.0009849864217502016,-0.0005041604240668212,0.0017011194088778704,-0.001982850321965686,0.001289769596352092,-0.0006653912227687671,2.0033767472677003e-16,Owen_Dummy
-18.198453966778594,6.98899407878321,-1.6417232825578836,0.9197514351105861,2.626541788988003,1.704326544788787,-2.1896940862583514,0.3778262918871045,-0.669501169285127,-0.9854530327523853,-0.29888188494435913,-0.2317555680108033,0.9014940087336614,0.9482802536262087,1.2086880683959005,0.31496323393555503,0.8600293853498548,0.2029007716016012,0.8198721502293864,0.2726623812188865,0.05340330107332391,0.722841605275072,-0.8765518492015293,-2.5739119955172205,0.073284333463812,0.6731608961762284,0.14151556987241484,0.5135466434011627,-1.1719612650956188,-0.32583179320984323,0.3850867550788971,-0.40064022913803005,-0.44362964831922796,-0.3633084533046241,-0.2052098724467607,-0.10939276882432322,0.011923869634266818,-0.0169139946615503,0.0318012250150356,0.008097598176347092,0.014921486436049054,-0.016604344673564173,0.01191203883478686,-0.010250274914202764,0.017172030091640027,0.00698973494533281,0.007584144780000218,0.002037615386251406,-0.012502595382184394,0.004177549676750839,0.002654243961076299,0.003489776742018187,0.00035429571491594987,-0.0009166917805192755,0.0003812024471645588,-0.00012032940634949177,-9.366971528532038e-05,-0.0019887224776075295,0.00011384701164411227,-1.7241262932001273e-14,Owen_Dummy
-19.34324367636026,6.610037117976565,-4.696951298687656,0.06573021977018101,2.292059531702053,1.036294531991094,2.203921905245978,-1.1902660381074537,-0.051343857885272806,1.1785800419882677,-0.9006952451105052,-1.0832168407315157,-5.4354639386493515,-1.3939518893056757,-3.7762492591975714,0.5077191922628141,-1.0228287544779289,-2.478820668170829,-0.10916190576515496,-0.25619959428841105,0.43279399111721767,-0.05032779598345177,-0.19602992921462278,0.0790187062150156,0.1878113265146348,0.4471992613650607,0.09587801457154817,-0.002848568939709322,-0.0931912243770926,-0.24797066413774607,-0.14553377182817936,-0.16072923418070886,0.05784581464566957,-0.04937031597453422,0.08532478699839405,0.02386207286770339,0.022774679127990177,0.01465797051554378,0.03843605244873315,-0.03234539852276307,0.020019539485690917,-0.0020666894603323036,-0.010421139411637395,0.016215156278141837,-0.011911304858575309,-0.008012719935176355,-0.0010251858985021994,0.0048509215707543745,-0.008318439720682316,-0.0037073180101576497,0.0041079723522520414,0.0015859181652392407,-0.002948896669295948,0.0004289829627989924,0.0026348164084472932,0.002036888705583301,-0.0014734847778139575,0.0002209017411059367,0.0004936774343176619,-1.9778567720231296e-15,Owen_Dummy
-18.893214841825586,6.976483847746774,-2.0062626852037577,1.9980781452825755,2.1690063978680474,1.178956262561691,-2.7088317359853216,-0.8212423658408569,-1.3592393134384755,-0.8543476434181374,0.7829178041812076,-1.5665988661986459,-0.7960498557980897,0.09545557339416948,1.4396750463490016,-1.3277571804487962,0.25823430919181023,1.492308610941984,-0.32689127845807703,-0.8344331057106669,-0.39090445553516495,0.6819407700376708,1.2593393307850655,0.4659966917983893,0.3762872240077936,-1.2762874411034668,-1.5579864845857134,-0.22384826924135673,-0.6342543839733449,-0.18116327110970193,-0.2829916817989513,0.002913317374294613,0.8388336362890055,0.19996919775757743,0.29850194548011966,-0.07007211626436399,0.03954073656682078,0.053522268582776145,0.00898010297069814,-0.012546163072039354,0.031383326091338426,0.038661330333923015,0.009515168708221902,0.00031973680976669845,-0.001558672422480624,0.0043224388754332784,0.016064845456272566,-0.005231598116813629,0.005467411717735778,0.002981835788586255,0.007819394667278606,-0.0035629145524172057,0.0033197514104103105,0.0026489407390077532,0.00258260788923192,0.0010133303987794138,-0.0021924215822490757,0.0016099832414917254,-0.0010006952459950826,-5.307559545855591e-16,Owen_Dummy
-16.973403739565768,5.593420473415197,-0.4942595687048171,0.24347205972992733,3.1247030982670005,1.4683515882787257,-2.1597981796597865,0.043325648197657614,-0.125415965305987,-1.7023219159769445,-0.105376218246767,0.8258806235554104,0.831557249293129,0.04191192577044711,-0.30110769568528134,1.6095831286470057,0.7294217067910388,-1.051151100992235,-0.18111038984306946,0.90604009764677,-0.1254080458099349,-0.024330559303109543,1.2368988306674251,-0.950722078336854,-0.011203867073331457,-0.09959028962684956,-0.6968650501723154,-0.09717068362238764,1.3025751860592152,1.1159043661614791,-0.27355689496085916,0.5695571465137917,-0.5911335573872419,0.2334244930673337,-0.12061273809836288,0.2456712812020573,-0.055616635643769854,-0.0019043528629638284,-0.15992967130889113,0.14589439215612812,-0.03076233405855693,-0.0021858799855667913,0.02563091669126035,0.001089178143887844,0.02438318099049125,0.020357436224011045,-0.006656922146663203,-0.013796195000380656,0.005614408868770032,0.0034389667649425667,-0.01642953016554641,-0.00326473322602967,-0.003192082756014156,-0.003557944082250423,-0.002364290665682693,-0.002966187883338535,0.0038030410415808183,-0.0020903647289789782,0.001173146372888484,3.741263023593904e-15,Owen_Dummy
