Starting project at /Users/joshuadev/VaultMat
Starting Metro Bundler
Waiting on http://localhost:8081
Logs for your project will appear below.
iOS Bundled 813ms index.js (1106 modules)
 LOG  toggled
 LOG  [2025-04-15T00:02:24.092Z] [-103.2, -98.8, -101.4, -104.2, -66.8, -103.8, -102.8, -101.2, -99.4, -102.6, -103.4, -102.8, -102.4, -104.8, -107.8, -104.2, -104.8, -102, -101, -103, -103.2, -100.2, -103, -104, -108.6, -103.6, -102.6, -101, -101, -102.8, -103.6, -103.6, -103, -104.6, -67.4, -104.6, -104, -99.6, -97.6, -103.4, -101, -101.2, -98.6, -99.8, -90.4, -102.2, -101.6, -90, -87.2, -99.6, -101.8, -101.8, -101.8, -103.2, -63.8, -101.8, -102.8, -91.6, -92, -101.2, -101, -100.4, -101, -102.8, -86, -100.4, -101.4, -88.8, -90, -99.6, -101.6, -101.6, -102.2, -103.8, -61.4, -101.8, -102.2, -91.8, -93.6, -101.2]
 LOG  [2025-04-15T00:02:24.114Z] [-103.2, -98.8, -101.4, -104.2, -66.8, -103.7, -102.8, -101.2, -99.4, -102.6, -103.3, -102.8, -102.5, -104.8, -107.8, -104.2, -104.8, -101.9, -101, -103, -103.2, -100.2, -103, -103.9, -108.6, -103.6, -102.7, -101, -100.9, -102.7, -103.6, -103.5, -102.9, -104.6, -67.4, -104.6, -104, -99.6, -97.6, -103.4, -101.1, -101.2, -98.6, -99.8, -90.4, -102.2, -101.7, -90, -87.2, -99.6, -101.8, -101.8, -101.8, -103.2, -63.8, -101.9, -102.9, -91.6, -92, -101.2, -101, -100.3, -101.1, -102.8, -86, -100.3, -101.4, -88.8, -90, -99.6, -101.5, -101.6, -102.2, -103.7, -61.3, -101.8, -102.2, -91.8, -93.6, -101.2]
 LOG  [2025-04-15T00:02:24.134Z] [-103.2, -98.8, -101.4, -104.2, -66.8, -103.73333333333332, -102.8, -101.26666666666667, -99.4, -102.6, -103.26666666666668, -102.73333333333332, -102.53333333333333, -104.8, -107.8, -104.2, -104.8, -101.86666666666666, -101, -103, -103.13333333333333, -100.2, -103, -103.93333333333332, -108.6, -103.6, -102.73333333333332, -101.06666666666666, -100.86666666666666, -102.73333333333332, -103.6, -103.53333333333333, -102.93333333333332, -104.6, -67.4, -104.6, -104, -99.6, -97.6, -103.4, -101.13333333333334, -101.06666666666666, -98.4, -99.73333333333333, -90.26666666666667, -102.13333333333334, -101.6, -89.93333333333334, -87.13333333333334, -99.53333333333333, -101.8, -101.73333333333333, -101.8, -103.26666666666668, -63.733333333333334, -101.93333333333334, -102.93333333333332, -91.53333333333333, -92, -101.2, -101, -100.26666666666667, -100.86666666666666, -102.8, -86, -100.33333333333334, -101.4, -88.73333333333333, -90, -99.6, -101.53333333333333, -101.53333333333333, -102.26666666666667, -103.73333333333332, -61.333333333333336, -101.86666666666666, -102.26666666666667, -91.86666666666666, -93.6, -101.26666666666667]
 LOG  [2025-04-15T00:02:24.188Z] [-103.25, -98.8, -101.4, -104.2, -66.8, -103.75, -102.8, -101.3, -99.4, -102.6, -103.25, -102.7, -102.55, -104.8, -107.8, -104.2, -104.85, -101.9, -101, -103, -103.15, -100.15, -103, -103.95, -108.6, -103.6, -102.75, -101.1, -100.9, -102.75, -103.65, -103.6, -102.9, -104.65, -67.45, -104.6, -104, -99.6, -97.6, -103.35, -101.05, -100.05, -98.05, -99.65, -90.2, -102.1, -101.55, -89.9, -87.05, -99.45, -101.8, -101.55, -101.8, -103.3, -63.8, -101.95, -103, -91.55, -92, -101.2, -101, -99.65, -100.8, -102.8, -86.05, -100.4, -101.45, -88.7, -90, -99.6, -101.55, -101.35, -102.3, -103.75, -61.35, -101.9, -102.35, -91.85, -93.6, -101.25]
 LOG  [2025-04-15T00:02:24.189Z] [-103.28, -98.76, -101.4, -104.2, -66.8, -103.75999999999999, -102.8, -101.32000000000001, -99.44, -102.6, -103.24000000000001, -102.64000000000001, -102.55999999999999, -104.84, -107.8, -104.2, -104.84, -101.92, -101.03999999999999, -103, -103.12, -100.08, -103, -103.96, -108.6, -103.6, -102.75999999999999, -101.12, -100.92, -102.75999999999999, -103.64000000000001, -103.55999999999999, -102.92, -104.64000000000001, -67.44, -104.6, -104, -99.6, -97.6, -103.35999999999999, -100.72, -99.24, -97.96000000000001, -99.64, -90.16, -102.08, -101.52000000000001, -89.8, -86.96000000000001, -99.4, -101.76, -101.36, -101.84, -103.32000000000001, -63.839999999999996, -101.96000000000001, -103, -91.52000000000001, -92, -101.2, -100.84, -99.2, -100.8, -102.8, -86.08, -100.44, -101.47999999999999, -88.67999999999999, -90, -99.6, -101.47999999999999, -101.16, -102.32000000000001, -103.75999999999999, -61.36, -101.92, -102.36, -91.88, -93.6, -101.28]
 LOG  [2025-04-15T00:02:24.249Z] [-103.32000000000001, -98.67999999999999, -101.4, -104.2, -66.84, -103.75999999999999, -102.8, -101.36, -99.47999999999999, -102.64000000000001, -103.2, -102.52000000000001, -102.6, -104.88, -107.8, -104.2, -104.84, -101.92, -101.08, -103, -103.08, -100, -103, -103.96, -108.6, -103.6, -102.8, -101.16, -100.92, -102.75999999999999, -103.72, -103.47999999999999, -102.92, -104.64000000000001, -67.44, -104.6, -104, -99.6, -97.6, -103.35999999999999, -100.32000000000001, -98.08, -97.72, -99.56, -90.08, -102.03999999999999, -101.47999999999999, -89.72, -86.88, -99.32000000000001, -101.67999999999999, -101.08, -101.88, -103.35999999999999, -63.879999999999995, -102, -103.04, -91.47999999999999, -92, -101.2, -100.64, -98.56, -100.76, -102.8, -86.12, -100.44, -101.47999999999999, -88.64, -90, -99.6, -101.4, -100.88, -102.36, -103.75999999999999, -61.36, -101.96000000000001, -102.4, -91.88, -93.6, -101.32000000000001]
 LOG  [2025-04-15T00:02:24.250Z] [-103.35999999999999, -98.6, -101.4, -104.2, -66.84, -103.8, -102.84, -101.4, -99.47999999999999, -102.67999999999999, -103.2, -102.4, -102.6, -104.92, -107.8, -104.2, -104.88, -101.96000000000001, -101.12, -103.04, -103.04, -99.88, -103, -104, -108.64000000000001, -103.64000000000001, -102.8, -101.2, -100.96000000000001, -102.8, -103.75999999999999, -103.44000000000001, -102.96, -104.64000000000001, -67.44, -104.6, -104, -99.6, -97.64, -103.35999999999999, -99.76, -96.84, -97.52000000000001, -99.47999999999999, -90, -102, -101.4, -89.6, -86.8, -99.24, -101.56, -100.76, -101.92, -103.4, -63.879999999999995, -102, -103, -91.44, -92, -101.2, -100.4, -97.92, -100.67999999999999, -102.8, -86.16, -100.47999999999999, -101.47999999999999, -88.6, -90, -99.6, -101.36, -100.56, -102.4, -103.8, -61.4, -102, -102.44000000000001, -91.88, -93.6, -101.36]
 LOG  [2025-04-15T00:02:24.265Z] [-103.35999999999999, -98.52000000000001, -101.4, -104.2, -66.84, -103.8, -102.88, -101.4, -99.52000000000001, -102.72, -103.2, -102.32000000000001, -102.6, -104.96, -107.8, -104.2, -104.88, -102, -101.16, -103.04, -103.04, -99.76, -102.96, -104, -108.64000000000001, -103.67999999999999, -102.8, -101.2, -101.03999999999999, -102.8, -103.84, -103.32000000000001, -102.96, -104.64000000000001, -67.44, -104.6, -104, -99.6, -97.76, -103.4, -99.24, -95.56, -97.28, -99.44, -90, -101.96000000000001, -101.4, -89.52000000000001, -86.8, -99.24, -101.44, -100.12, -101.72, -103.35999999999999, -63.92, -101.96000000000001, -102.96, -91.4, -92.03999999999999, -101.2, -100.16, -97.16, -100.64, -102.8, -86.2, -100.47999999999999, -101.47999999999999, -88.6, -90.03999999999999, -99.6, -101.24, -100.03999999999999, -102.24, -103.8, -61.4, -102, -102.4, -91.8, -93.6, -101.32000000000001]
 LOG  [2025-04-15T00:02:24.266Z] [-103.32000000000001, -98.44, -101.4, -104.2, -66.84, -103.8, -102.88, -101.4, -99.56, -102.75999999999999, -103.2, -102.24, -102.55999999999999, -105, -107.8, -104.2, -104.84, -102, -101.2, -103.08, -103, -99.67999999999999, -102.92, -104, -108.64000000000001, -103.72, -102.8, -101.2, -101.03999999999999, -102.8, -103.88, -103.2, -102.96, -104.64000000000001, -67.4, -104.6, -104.04, -99.6, -97.92, -103.44000000000001, -98.84, -94.96000000000001, -97.2, -99.47999999999999, -90, -101.96000000000001, -101.4, -89.44, -86.84, -99.32000000000001, -101.32000000000001, -99.47999999999999, -101.4, -103.32000000000001, -63.879999999999995, -101.92, -102.88, -91.32000000000001, -92.03999999999999, -101.16, -99.92, -96.8, -100.52000000000001, -102.8, -86.2, -100.44, -101.44, -88.56, -90.12, -99.6, -101.12, -99.56, -101.96000000000001, -103.8, -61.4, -101.96000000000001, -102.32000000000001, -91.76, -93.6, -101.32000000000001]
 LOG  [2025-04-15T00:02:24.391Z] [-103.32000000000001, -98.4, -101.4, -104.2, -66.88, -103.8, -102.88, -101.4, -99.56, -102.8, -103.2, -102.2, -102.52000000000001, -105, -107.8, -104.2, -104.84, -102, -101.2, -103.08, -103, -99.64, -102.88, -104, -108.64000000000001, -103.75999999999999, -102.8, -101.2, -101.03999999999999, -102.8, -103.96, -103.12, -102.88, -104.67999999999999, -67.4, -104.6, -104.04, -99.64, -98.08, -103.47999999999999, -98.76, -94.56, -96.88, -99.47999999999999, -90, -101.96000000000001, -101.4, -89.44, -86.96000000000001, -99.4, -101.24, -98.84, -100.72, -103.28, -63.839999999999996, -101.88, -102.84, -91.28, -92.03999999999999, -101.12, -99.88, -96.47999999999999, -100.2, -102.8, -86.2, -100.4, -101.4, -88.56, -90.2, -99.6, -101.12, -99.12, -101.47999999999999, -103.8, -61.4, -101.96000000000001, -102.32000000000001, -91.64, -93.64, -101.28]
